pixel_x_250m,pixel_y_250m,depth_bin_10cm,observed_SOC_pct,predicted_SOC_pct,lower_90,upper_90,n_horizons
-45002,19105,0,1.874999970197675,1.0997157499999999,0.24980574407291406,1.9496257559270858,4
-45002,19105,1,1.230000019073485,0.8964204,0.16700736746826172,1.6258334325317383,2
-45002,19105,3,0.919999986886975,0.6504010499999999,0.00931468024711607,1.2914874197528838,2
-45002,19105,4,0.869999974966045,0.53178063,0.0,1.0893943306282807,2
-45002,19105,5,1.23000001907348,0.45308965,0.0,0.954277987802887,1
-45002,19105,6,0.77999997138977,0.4294279,0.0,0.9359628340438843,1
-45002,19105,7,0.974999994039535,0.3798237,0.0,0.8087148372423172,2
-45002,19105,8,0.77999997138977,0.2903744,0.0,0.6845281737846374,1
-45002,19105,9,0.8500000238418501,0.2903744,0.0,0.6845281737846374,1
-45002,19106,0,2.0499999523162797,1.1017331,0.25674651223716727,1.9467196877628326,2
-45002,19106,1,1.25999999046325,0.91002566,0.1720266975976562,1.6480246224023438,1
-45002,19106,3,0.74000000953674,0.6524679,0.01597207137145995,1.28896372862854,1
-45002,19106,4,0.75,0.5216515,0.0,1.07269810987854,1
-45002,19106,6,1.01999998092651,0.43301272,0.0,0.9324843248240662,1
-45002,19106,7,0.81999999284744,0.35390845,0.0,0.7731465703174591,1
-45002,19106,9,0.58999997377395,0.2903744,0.0,0.6845281737846374,1
-45002,19107,0,2.629999995231625,2.01193115,0.16011012478739417,3.8637521752126056,6
-45002,19107,1,1.6866666475931769,0.9928165666666667,0.09261083527475993,1.8930222980585736,3
-45002,19107,3,1.6266666650772066,0.63933626,0.0,1.3659671662639872,3
-45002,19107,5,1.1133333643277432,0.4664469266666667,0.0,1.0564265752567545,3
-45002,19107,6,0.75999999046325,0.37958473,0.0,0.871846646399002,1
-45002,19107,7,0.61000001430511,0.32702821,0.0,0.7912254582204437,1
-45002,19107,8,0.68999999761581,0.32163543,0.0,0.7858326782204437,1
-45002,19107,9,0.6000000039736367,0.28404969999999996,0.0,0.715909401871872,3
-44928,19435,0,1.37333331505457,1.7136739500000002,0.49281861460545856,2.9345292853945413,6
-44928,19435,1,0.9200000166892933,0.9313855133333333,0.18386083462621053,1.6789101920404563,3
-44928,19435,2,0.629999995231625,0.60836965,0.0044210568603515465,1.2123182431396484,2
-44928,19435,3,0.7200000286102199,0.58780146,0.0,1.1840657627305604,1
-44928,19435,4,0.56000000238418,0.4714557433333333,0.0,0.9539870524611409,3
-44928,19435,6,0.5900000035762732,0.34847345,0.0,0.7465266192504884,3
-44928,19435,8,0.6099999845027899,0.23314101999999998,0.0,0.5625703037381362,2
-44928,19435,9,0.61000001430511,0.22940217,0.0,0.5587140772914123,1
-44915,19448,0,2.116666674613945,1.7655539833333334,0.12145148941141766,3.409656477255249,6
-44915,19448,1,1.0199999610582933,0.8745710266666666,0.02676915934015911,1.724945904119517,3
-44915,19448,3,0.70666666825612,0.58805979,0.0,1.2688714733368938,3
-44915,19448,5,0.63666665554046,0.4363469166666667,0.0,0.9612669033915203,3
-44915,19448,7,0.7600000103314667,0.32583270666666664,0.0,0.7568624635305786,3
-44915,19448,8,0.66000002622604,0.24574518,0.0,0.6127743104588318,1
-44915,19448,9,0.86500000953674,0.25827384,0.0,0.6587207615869903,2
-44915,19451,0,1.9933333297570484,1.020164875,0.27528384110260007,1.7650459088973998,6
